id	confirmed	deaths	recovered	date	url	pays
1	40	1	1	2020-03-23	AFG	Afghanistan
2	1	0	0	2020-02-26	AFG	Afghanistan
3	74	1	1	2020-03-24	AFG	Afghanistan
4	0	0	0	2020-02-08	AFG	Afghanistan
5	933	30	112	2020-04-18	AFG	Afghanistan
6	84	2	2	2020-03-25	AFG	Afghanistan
7	607	18	32	2020-04-12	AFG	Afghanistan
8	11	0	0	2020-03-14	AFG	Afghanistan
9	1	0	0	2020-03-06	AFG	Afghanistan
10	1	0	0	2020-03-05	AFG	Afghanistan
11	0	0	0	2020-01-31	AFG	Afghanistan
12	22	0	1	2020-03-18	AFG	Afghanistan
13	5	0	0	2020-03-10	AFG	Afghanistan
14	714	23	40	2020-04-14	AFG	Afghanistan
15	0	0	0	2020-01-27	AFG	Afghanistan
16	281	6	10	2020-04-03	AFG	Afghanistan
17	120	4	2	2020-03-29	AFG	Afghanistan
18	0	0	0	2020-01-25	AFG	Afghanistan
19	1092	36	150	2020-04-21	AFG	Afghanistan
20	521	15	32	2020-04-10	AFG	Afghanistan
21	0	0	0	2020-01-28	AFG	Afghanistan
22	1026	36	135	2020-04-20	AFG	Afghanistan
23	840	30	54	2020-04-16	AFG	Afghanistan
24	237	4	5	2020-04-01	AFG	Afghanistan
25	444	14	29	2020-04-08	AFG	Afghanistan
26	784	25	43	2020-04-15	AFG	Afghanistan
27	7	0	0	2020-03-12	AFG	Afghanistan
28	22	0	1	2020-03-17	AFG	Afghanistan
29	1	0	0	2020-03-01	AFG	Afghanistan
30	423	14	18	2020-04-07	AFG	Afghanistan
31	174	4	5	2020-03-31	AFG	Afghanistan
32	0	0	0	2020-02-16	AFG	Afghanistan
33	22	0	1	2020-03-19	AFG	Afghanistan
34	110	4	2	2020-03-27	AFG	Afghanistan
35	299	7	10	2020-04-04	AFG	Afghanistan
36	94	4	2	2020-03-26	AFG	Afghanistan
37	1	0	0	2020-02-25	AFG	Afghanistan
38	555	18	32	2020-04-11	AFG	Afghanistan
39	0	0	0	2020-02-05	AFG	Afghanistan
40	0	0	0	2020-02-20	AFG	Afghanistan
41	1	0	0	2020-02-29	AFG	Afghanistan
42	110	4	2	2020-03-28	AFG	Afghanistan
43	0	0	0	2020-01-22	AFG	Afghanistan
44	1	0	0	2020-03-03	AFG	Afghanistan
45	0	0	0	2020-02-13	AFG	Afghanistan
