Id	code_region	age	jour	hospit	rea	recovered	deaths
1	01	0	2020-03-18	0	0	0	0
2	01	09	2020-03-18	0	0	0	0
3	01	19	2020-03-18	0	0	0	0
4	01	29	2020-03-18	0	0	0	0
5	01	39	2020-03-18	0	0	0	0
6	01	49	2020-03-18	0	0	0	0
7	01	59	2020-03-18	0	0	0	0
8	01	69	2020-03-18	0	0	0	0
9	01	79	2020-03-18	0	0	0	0
10	01	89	2020-03-18	0	0	0	0
11	01	90	2020-03-18	0	0	0	0
12	02	0	2020-03-18	16	5	0	1
13	02	09	2020-03-18	0	0	0	0
14	02	19	2020-03-18	0	0	0	0
15	02	29	2020-03-18	2	1	0	0
16	02	39	2020-03-18	2	0	0	0
17	02	49	2020-03-18	2	1	0	0
18	02	59	2020-03-18	5	0	0	0
19	02	69	2020-03-18	4	3	0	0
20	02	79	2020-03-18	1	0	0	0
21	02	89	2020-03-18	0	0	0	1
22	02	90	2020-03-18	0	0	0	0
23	03	0	2020-03-18	0	0	0	0
24	03	09	2020-03-18	0	0	0	0
25	03	19	2020-03-18	0	0	0	0
26	03	29	2020-03-18	0	0	0	0
27	03	39	2020-03-18	0	0	0	0
28	03	49	2020-03-18	0	0	0	0
29	03	59	2020-03-18	0	0	0	0
30	03	69	2020-03-18	0	0	0	0
31	03	79	2020-03-18	0	0	0	0
32	03	89	2020-03-18	0	0	0	0
33	03	90	2020-03-18	0	0	0	0
34	04	0	2020-03-18	2	2	0	0
35	04	09	2020-03-18	0	0	0	0
36	04	19	2020-03-18	0	0	0	0
37	04	29	2020-03-18	0	0	0	0
38	04	39	2020-03-18	0	0	0	0
39	04	49	2020-03-18	0	0	0	0
40	04	59	2020-03-18	0	0	0	0
41	04	69	2020-03-18	0	0	0	0
42	04	79	2020-03-18	1	1	0	0
43	04	89	2020-03-18	1	1	0	0
44	04	90	2020-03-18	0	0	0	0
45	06	0	2020-03-18	0	0	0	0
46	06	09	2020-03-18	0	0	0	0
47	06	19	2020-03-18	0	0	0	0
48	06	29	2020-03-18	0	0	0	0
49	06	39	2020-03-18	0	0	0	0
50	06	49	2020-03-18	0	0	0	0
51	06	59	2020-03-18	0	0	0	0
52	06	69	2020-03-18	0	0	0	0
53	06	79	2020-03-18	0	0	0	0
54	06	89	2020-03-18	0	0	0	0
55	06	90	2020-03-18	0	0	0	0
56	11	0	2020-03-18	957	294	129	36
57	11	09	2020-03-18	3	2	1	0
58	11	19	2020-03-18	6	1	0	0
59	11	29	2020-03-18	11	2	18	0
60	11	39	2020-03-18	42	13	16	0
61	11	49	2020-03-18	89	27	11	4
62	11	59	2020-03-18	177	67	30	0
63	11	69	2020-03-18	185	73	18	2
64	11	79	2020-03-18	200	70	18	8
65	11	89	2020-03-18	168	30	12	16
