id	dep	date_pass	tranche_age	nb_pass_suspit	nb_pass_tot	nb_hospit	nb_pass_h	nb_pass_f	nb_pass_tot_h	nb_pass_tot_f	nb_hospit_h	nb_hospit_f	nb_acte	nb_acte_tot	nb_acte_h	nb_acte_f	nb_acte_tot_h	nb_acte_tot_f
1	1	2020-01-24	0	0	357	0	0	0	202	155	0	0						
2	1	2020-01-24	A	0	73	0												
3	1	2020-01-24	B	0	155	0												
4	1	2020-01-24	C	0	61	0												
5	1	2020-01-24	D	0	28	0												
6	1	2020-01-24	E	0	40	0												
7	2	2020-01-24	0	0	458	0	0	0	246	212	0	0	0	382	0	0	174	208
8	2	2020-01-24	A	0	105	0							0	112				
9	2	2020-01-24	B	0	163	0							0	154				
10	2	2020-01-24	C	0	85	0							0	70				
11	2	2020-01-24	D	0	45	0							0	15				
12	2	2020-01-24	E	0	60	0							0	22				
13	3	2020-01-24	0	0	223	0	0	0	108	115	0	0						
14	3	2020-01-24	A	0	31	0												
15	3	2020-01-24	B	0	86	0												
16	3	2020-01-24	C	0	37	0												
17	3	2020-01-24	D	0	25	0												
18	3	2020-01-24	E	0	44	0												
19	4	2020-01-24	0	0	196	0	0	0	102	94	0	0						
20	4	2020-01-24	A	0	31	0												
21	4	2020-01-24	B	0	66	0												
22	4	2020-01-24	C	0	44	0												
23	4	2020-01-24	D	0	19	0												
24	4	2020-01-24	E	0	36	0												
25	5	2020-01-24	0	0	231	0	0	0	129	102	0	0						
26	5	2020-01-24	A	0	52	0												
27	5	2020-01-24	B	0	89	0												
28	5	2020-01-24	C	0	37	0												
29	5	2020-01-24	D	0	27	0												
30	5	2020-01-24	E	0	26	0												
31	6	2020-01-24	0	0	1050	0	0	0	547	501	0	0	0	171	0	0	62	109
32	6	2020-01-24	A	0	261	0							0	33				
33	6	2020-01-24	B	0	321	0							0	59				
34	6	2020-01-24	C	0	196	0							0	32				
35	6	2020-01-24	D	0	93	0							0	13				
36	6	2020-01-24	E	0	179	0							0	34				
37	7	2020-01-24	0	0	184	0	0	0	89	95	0	0						
38	7	2020-01-24	A	0	15	0												
39	7	2020-01-24	B	0	88	0												
40	7	2020-01-24	C	0	38	0												
41	7	2020-01-24	D	0	22	0												
42	7	2020-01-24	E	0	21	0												
43	8	2020-01-24	0	0	267	0	0	0	142	125	0	0						
44	8	2020-01-24	A	0	57	0												
45	8	2020-01-24	B	0	89	0												
46	8	2020-01-24	C	0	55	0												
47	8	2020-01-24	D	0	29	0												
48	8	2020-01-24	E	0	37	0												
49	9	2020-01-24	0	0	164	0	0	0	84	80	0	0						
50	9	2020-01-24	A	0	31	0												
51	9	2020-01-24	B	0	49	0												
52	9	2020-01-24	C	0	30	0												
53	9	2020-01-24	D	0	19	0												
54	9	2020-01-24	E	0	35	0												
55	10	2020-01-24	0	0	203	0	0	0	97	105	0	0	0	112	0	0	46	66
56	10	2020-01-24	A	0	41	0							0	25				
57	10	2020-01-24	B	0	79	0							0	53				
58	10	2020-01-24	C	0	36	0							0	22				
59	10	2020-01-24	D	0	17	0							0	3				
60	10	2020-01-24	E	0	30	0							0	9				
61	11	2020-01-24	0	0	359	0	0	0	187	172	0	0						
62	11	2020-01-24	A	0	57	0												
63	11	2020-01-24	B	0	127	0												
64	11	2020-01-24	C	0	81	0												
65	11	2020-01-24	D	0	32	0												
66	11	2020-01-24	E	0	62	0												
67	12	2020-01-24	0	0	165	0	0	0	78	87	0	0						
68	12	2020-01-24	A	0	25	0												
69	12	2020-01-24	B	0	56	0												
70	12	2020-01-24	C	0	33	0												
71	12	2020-01-24	D	0	17	0												
72	12	2020-01-24	E	0	34	0												
73	13	2020-01-24	0	0	1622	0	0	0	860	762	0	0	0	222	0	0	83	138
74	13	2020-01-24	A	0	404	0							0	51				
75	13	2020-01-24	B	0	539	0							0	88				
76	13	2020-01-24	C	0	315	0							0	51				
77	13	2020-01-24	D	0	132	0							0	9				
78	13	2020-01-24	E	0	232	0							0	22				
79	14	2020-01-24	0	0	482	0	0	0	246	236	0	0	0	367	0	0	146	221
80	14	2020-01-24	A	0	97	0							0	92				
81	14	2020-01-24	B	0	162	0							0	199				
82	14	2020-01-24	C	0	113	0							0	39				
83	14	2020-01-24	D	0	40	0							0	10				
84	14	2020-01-24	E	0	70	0							0	27				
85	15	2020-01-24	0	0	96	0	0	0	49	47	0	0						
86	15	2020-01-24	A	0	16	0												
87	15	2020-01-24	B	0	27	0												
88	15	2020-01-24	C	0	25	0												
89	15	2020-01-24	D	0	11	0												
90	15	2020-01-24	E	0	17	0												
91	16	2020-01-24	0	0	295	0	0	0	172	123	0	0						
92	16	2020-01-24	A	0	33	0												
93	16	2020-01-24	B	0	107	0												
94	16	2020-01-24	C	0	62	0												
95	16	2020-01-24	D	0	31	0												
96	16	2020-01-24	E	0	62	0												
97	17	2020-01-24	0	0	548	0	0	0	277	271	0	0	0	66	0	0	34	32
98	17	2020-01-24	A	0	59	0							0	20				
99	17	2020-01-24	B	0	167	0							0	27				
100	17	2020-01-24	C	0	113	0							0	7				
101	17	2020-01-24	D	0	89	0							0	4				
102	17	2020-01-24	E	0	120	0							0	8				
103	18	2020-01-24	0	0	122	0	0	0	66	56	0	0	0	267	0	0	114	153
104	18	2020-01-24	A	0	17	0							0	54				
105	18	2020-01-24	B	0	29	0							0	141				
106	18	2020-01-24	C	0	25	0							0	48				
107	18	2020-01-24	D	0	18	0							0	11				
108	18	2020-01-24	E	0	33	0							0	13				
109	19	2020-01-24	0	0	219	0	0	0	130	89	0	0						
110	19	2020-01-24	A	0	22	0												
111	19	2020-01-24	B	0	69	0												
112	19	2020-01-24	C	0	42	0												
113	19	2020-01-24	D	0	36	0												
114	19	2020-01-24	E	0	50	0												
115	21	2020-01-24	0	0	377	0	0	0	198	179	0	0	0	158	0	0	74	84
116	21	2020-01-24	A	0	45	0							0	58				
117	21	2020-01-24	B	0	134	0							0	64				
118	21	2020-01-24	C	0	77	0							0	20				
119	21	2020-01-24	D	0	50	0							0	6				
120	21	2020-01-24	E	0	71	0							0	10				
121	22	2020-01-24	0	0	295	0	0	0	170	125	0	0						
122	22	2020-01-24	A	0	39	0												
123	22	2020-01-24	B	0	93	0												
124	22	2020-01-24	C	0	61	0												
125	22	2020-01-24	D	0	32	0												
126	22	2020-01-24	E	0	70	0												
127	23	2020-01-24	0	0	69	0	0	0	45	24	0	0						
128	23	2020-01-24	A	0	8	0												
129	23	2020-01-24	B	0	20	0												
130	23	2020-01-24	C	0	10	0												
131	23	2020-01-24	D	0	7	0												
132	23	2020-01-24	E	0	24	0												
133	24	2020-01-24	0	0	266	0	0	0	151	115	0	0						
134	24	2020-01-24	A	0	26	0												
135	24	2020-01-24	B	0	88	0												
136	24	2020-01-24	C	0	53	0												
137	24	2020-01-24	D	0	31	0												
138	24	2020-01-24	E	0	68	0												
139	25	2020-01-24	0	0	290	0	0	0	159	131	0	0	0	141	0	0	70	71
140	25	2020-01-24	A	0	89	0							0	37				
141	25	2020-01-24	B	0	80	0							0	56				
142	25	2020-01-24	C	0	59	0							0	23				
143	25	2020-01-24	D	0	17	0							0	9				
144	25	2020-01-24	E	0	45	0							0	16				
145	26	2020-01-24	0	0	419	0	0	0	218	201	0	0						
146	26	2020-01-24	A	0	127	0												
147	26	2020-01-24	B	0	140	0												
148	26	2020-01-24	C	0	67	0												
149	26	2020-01-24	D	0	34	0												
150	26	2020-01-24	E	0	51	0												
151	27	2020-01-24	0	0	168	0	0	0	78	90	0	0						
152	27	2020-01-24	A	0	18	0												
153	27	2020-01-24	B	0	85	0												
154	27	2020-01-24	C	0	32	0												
155	27	2020-01-24	D	0	16	0												
156	27	2020-01-24	E	0	17	0												
157	28	2020-01-24	0	0	415	0	0	0	217	198	0	0						
158	28	2020-01-24	A	0	39	0												
159	28	2020-01-24	B	0	161	0												
160	28	2020-01-24	C	0	106	0												
161	28	2020-01-24	D	0	36	0												
162	28	2020-01-24	E	0	73	0												
163	29	2020-01-24	0	0	689	0	0	0	358	331	0	0	0	212	0	0	90	122
164	29	2020-01-24	A	0	105	0							0	48				
165	29	2020-01-24	B	0	217	0							0	97				
166	29	2020-01-24	C	0	162	0							0	38				
167	29	2020-01-24	D	0	75	0							0	11				
168	29	2020-01-24	E	0	130	0							0	16				
169	2	2020-01-24	0	0	121	0	0	0	76	45	0	0	0	146	0	0	34	83
170	2	2020-01-24	A	0	10	0							0	40				
171	2	2020-01-24	B	0	48	0							0	72				
172	2	2020-01-24	C	0	29	0							0	19				
173	2	2020-01-24	D	0	10	0							0	4				
174	2	2020-01-24	E	0	24	0							0	10				
175	2	2020-01-24	0	0	134	0	0	0	78	56	0	0						
176	2	2020-01-24	A	0	17	0												
177	2	2020-01-24	B	0	43	0												
178	2	2020-01-24	C	0	33	0												
179	2	2020-01-24	D	0	17	0												
180	2	2020-01-24	E	0	24	0												
181	30	2020-01-24	0	0	628	0	0	0	329	299	0	0	0	95	0	0	43	52
182	30	2020-01-24	A	0	144	0							0	24				
183	30	2020-01-24	B	0	223	0							0	41				
184	30	2020-01-24	C	0	115	0							0	17				
185	30	2020-01-24	D	0	62	0							0	6				
186	30	2020-01-24	E	0	84	0							0	7				
187	31	2020-01-24	0	1	987	0	0	1	523	464	0	0	0	130	0	0	50	80
188	31	2020-01-24	A	0	201	0							0	23				
189	31	2020-01-24	B	1	405	0							0	71				
190	31	2020-01-24	C	0	186	0							0	26				
191	31	2020-01-24	D	0	73	0							0	4				
192	31	2020-01-24	E	0	122	0							0	6				
193	32	2020-01-24	0	0	87	0	0	0	40	47	0	0						
194	32	2020-01-24	A	0	10	0												
195	32	2020-01-24	B	0	24	0												
196	32	2020-01-24	C	0	15	0												
197	32	2020-01-24	D	0	11	0												
198	32	2020-01-24	E	0	27	0												
199	33	2020-01-24	0	0	945	0	0	0	487	458	0	0	0	1025	0	0	429	596
200	33	2020-01-24	A	0	185	0							0	333				
201	33	2020-01-24	B	0	343	0							0	410				
202	33	2020-01-24	C	0	177	0							0	152				
203	33	2020-01-24	D	0	82	0							0	41				
204	33	2020-01-24	E	0	158	0							0	89				
205	34	2020-01-24	0	0	951	0	0	0	499	452	0	0	0	140	0	0	50	87
206	34	2020-01-24	A	0	226	0							0	48				
207	34	2020-01-24	B	0	344	0							0	59				
208	34	2020-01-24	C	0	173	0							0	17				
209	34	2020-01-24	D	0	76	0							0	6				
210	34	2020-01-24	E	0	132	0							0	10				
211	35	2020-01-24	0	0	708	0	0	0	363	345	0	0	0	177	0	0	79	98
212	35	2020-01-24	A	0	143	0							0	28				
213	35	2020-01-24	B	0	257	0							0	72				
214	35	2020-01-24	C	0	146	0							0	27				
215	35	2020-01-24	D	0	66	0							0	10				
216	35	2020-01-24	E	0	96	0							0	40				
217	36	2020-01-24	0	0	152	0	0	0	79	73	0	0						
218	36	2020-01-24	A	0	31	0												
219	36	2020-01-24	B	0	43	0												
220	36	2020-01-24	C	0	35	0												
221	36	2020-01-24	D	0	13	0												
222	36	2020-01-24	E	0	30	0												
223	37	2020-01-24	0	0	376	0	0	0	193	183	0	0	0	188	0	0	88	100
224	37	2020-01-24	A	0	78	0							0	39				
225	37	2020-01-24	B	0	126	0							0	96				
226	37	2020-01-24	C	0	71	0							0	37				
227	37	2020-01-24	D	0	39	0							0	6				
228	37	2020-01-24	E	0	62	0							0	10				
229	38	2020-01-24	0	0	1090	0	0	0	580	510	0	0	0	238	0	0	97	141
230	38	2020-01-24	A	0	283	0							0	61				
231	38	2020-01-24	B	0	378	0							0	91				
232	38	2020-01-24	C	0	194	0							0	47				
233	38	2020-01-24	D	0	89	0							0	14				
234	38	2020-01-24	E	0	146	0							0	25				
235	39	2020-01-24	0	0	277	0	0	0	142	135	0	0						
236	39	2020-01-24	A	0	48	0												
237	39	2020-01-24	B	0	83	0												
238	39	2020-01-24	C	0	65	0												
239	39	2020-01-24	D	0	30	0												
