id	reg	date_pass	tranche_age	nb_pass_suspit	nb_pass_tot	nb_hospit	nb_pass_h	nb_paas_f	nb_pass_tot_h	nb_pass_tot_f	nb_hospit_h	nb_hospit_f	nb_acte	nb_acte_tot	nb_acte_h	nb_acte_f	nb_acte_tot_h	nb_acte_tot_f
1	01	2020-02-24	0		300.0				148.0	152.0								
2	01	2020-02-24	A		75.0													
3	01	2020-02-24	B		102.0													
4	01	2020-02-24	C		68.0													
5	01	2020-02-24	D		20.0													
6	01	2020-02-24	E		35.0													
7	02	2020-02-24	0											105.0			31.0	74.0
8	02	2020-02-24	A											28.0				
9	02	2020-02-24	B											28.0				
10	02	2020-02-24	C											25.0				
11	02	2020-02-24	D											9.0				
12	02	2020-02-24	E											15.0				
13	03	2020-02-24	0		268.0				154.0	114.0								
14	03	2020-02-24	A		83.0													
15	03	2020-02-24	B		120.0													
16	03	2020-02-24	C		43.0													
17	03	2020-02-24	D		17.0													
18	03	2020-02-24	E		5.0													
19	04	2020-02-24	0		579.0				298.0	281.0								
20	04	2020-02-24	A		155.0													
21	04	2020-02-24	B		197.0													
22	04	2020-02-24	C		132.0													
23	04	2020-02-24	D		46.0													
24	04	2020-02-24	E		49.0													
25	06	2020-02-24	0		142.0				85.0	57.0								
26	06	2020-02-24	A		47.0													
27	06	2020-02-24	B		75.0													
28	06	2020-02-24	C		14.0													
29	06	2020-02-24	D		5.0													
30	06	2020-02-24	E		1.0													
31	07	2020-02-24	0		33.0				20.0	13.0								
32	07	2020-02-24	A		4.0													
33	07	2020-02-24	B		17.0													
34	07	2020-02-24	C		10.0													
35	07	2020-02-24	D		2.0													
36	07	2020-02-24	E															
37	08	2020-02-24	0		49.0				25.0	24.0								
38	08	2020-02-24	A		8.0													
39	08	2020-02-24	B		19.0													
40	08	2020-02-24	C		14.0													
41	08	2020-02-24	D		5.0													
42	08	2020-02-24	E		3.0													
43	11	2020-02-24	0		8870.0				4519.0	4350.0				2391.0			1055.0	1333.0
44	11	2020-02-24	A		2147.0									655.0				
45	11	2020-02-24	B		3620.0									1043.0				
46	11	2020-02-24	C		1660.0									434.0				
47	11	2020-02-24	D		592.0									100.0				
48	11	2020-02-24	E		851.0									138.0				
49	24	2020-02-24	0		1734.0				894.0	840.0				517.0			239.0	278.0
50	24	2020-02-24	A		294.0									99.0				
51	24	2020-02-24	B		610.0									266.0				
52	24	2020-02-24	C		355.0									101.0				
53	24	2020-02-24	D		163.0									18.0				
54	24	2020-02-24	E		312.0									33.0				
55	27	2020-02-24	0		2486.0				1340.0	1146.0				410.0			205.0	205.0
56	27	2020-02-24	A		510.0									130.0				
57	27	2020-02-24	B		814.0									163.0				
58	27	2020-02-24	C		484.0									66.0				
59	27	2020-02-24	D		252.0									22.0				
60	27	2020-02-24	E		426.0									29.0				
61	28	2020-02-24	0		2497.0				1264.0	1233.0				706.0			302.0	404.0
62	28	2020-02-24	A		488.0									176.0				
63	28	2020-02-24	B		944.0									346.0				
64	28	2020-02-24	C		511.0									100.0				
65	28	2020-02-24	D		229.0									31.0				
66	28	2020-02-24	E		325.0									53.0				
67	32	2020-02-24	0		3843.0				2009.0	1833.0				1543.0			654.0	889.0
68	32	2020-02-24	A		849.0									453.0				
69	32	2020-02-24	B		1450.0									740.0				
70	32	2020-02-24	C		724.0									229.0				
71	32	2020-02-24	D		313.0									56.0				
72	32	2020-02-24	E		507.0									54.0				
73	44	2020-02-24	0		3590.0				1858.0	1731.0				740.0			329.0	408.0
74	44	2020-02-24	A		797.0									206.0				
75	44	2020-02-24	B		1213.0									304.0				
76	44	2020-02-24	C		715.0									128.0				
77	44	2020-02-24	D		327.0									34.0				
78	44	2020-02-24	E		538.0									64.0				
79	52	2020-02-24	0		1859.0				966.0	893.0				599.0			261.0	330.0
80	52	2020-02-24	A		388.0									131.0				
81	52	2020-02-24	B		658.0									256.0				
82	52	2020-02-24	C		371.0									109.0				
83	52	2020-02-24	D		159.0									31.0				
84	52	2020-02-24	E		283.0									72.0				
85	53	2020-02-24	0		2087.0				1095.0	992.0				488.0			213.0	275.0
86	53	2020-02-24	A		356.0									102.0				
87	53	2020-02-24	B		699.0									207.0				
88	53	2020-02-24	C		452.0									82.0				
89	53	2020-02-24	D		213.0									29.0				
90	53	2020-02-24	E		367.0									66.0				
91	75	2020-02-24	0		4260.0				2301.0	1959.0				1728.0			733.0	995.0
92	75	2020-02-24	A		728.0									544.0				
93	75	2020-02-24	B		1442.0									713.0				
94	75	2020-02-24	C		822.0									253.0				
95	75	2020-02-24	D		451.0									74.0				
96	75	2020-02-24	E		817.0									143.0				
97	76	2020-02-24	0	1.0	4666.0			1.0	2408.0	2258.0				475.0			194.0	278.0
98	76	2020-02-24	A		936.0									134.0				
99	76	2020-02-24	B	1.0	1668.0									208.0				
100	76	2020-02-24	C		916.0									77.0				
101	76	2020-02-24	D		439.0									24.0				
102	76	2020-02-24	E		706.0									32.0				
103	84	2020-02-24	0		6493.0				3437.0	3056.0				1281.0			564.0	707.0
104	84	2020-02-24	A		1523.0									404.0				
105	84	2020-02-24	B		2418.0									523.0				
106	84	2020-02-24	C		1221.0									159.0				
107	84	2020-02-24	D		535.0									62.0				
108	84	2020-02-24	E		796.0									128.0				
109	93	2020-02-24	0		4546.0				2412.0	2132.0				942.0			381.0	560.0
110	93	2020-02-24	A		1055.0									228.0				
111	93	2020-02-24	B		1489.0									355.0				
112	93	2020-02-24	C		852.0									166.0				
113	93	2020-02-24	D		422.0									62.0				
114	93	2020-02-24	E		728.0									119.0				
115	94	2020-02-24	0		255.0				154.0	101.0				146.0			34.0	83.0
116	94	2020-02-24	A		27.0									40.0				
117	94	2020-02-24	B		91.0									72.0				
118	94	2020-02-24	C		62.0									19.0				
119	94	2020-02-24	D		27.0									4.0				
120	94	2020-02-24	E		48.0									10.0				
121	01	2020-02-25	0		235.0				113.0	122.0								
122	01	2020-02-25	A		84.0													
123	01	2020-02-25	B		77.0													
124	01	2020-02-25	C		36.0													
125	01	2020-02-25	D		12.0													
126	01	2020-02-25	E		26.0													
127	02	2020-02-25	0											109.0			35.0	74.0
128	02	2020-02-25	A											25.0				
129	02	2020-02-25	B											33.0				
130	02	2020-02-25	C											14.0				
131	02	2020-02-25	D											15.0				
132	02	2020-02-25	E											22.0				
133	03	2020-02-25	0		256.0				131.0	125.0								
134	03	2020-02-25	A		83.0													
135	03	2020-02-25	B		114.0													
136	03	2020-02-25	C		38.0													
137	03	2020-02-25	D		11.0													
138	03	2020-02-25	E		10.0													
139	04	2020-02-25	0		489.0				262.0	227.0								
140	04	2020-02-25	A		124.0													
141	04	2020-02-25	B		173.0													
142	04	2020-02-25	C		99.0													
